ClienteCodigo,Potencial
0000386745,P4
0000387385,P4
0000387531,P1
0000405941,P4
0000406042,P1
0000406205,P1
0000266403,P3
0000266439,P4
0000266640,P4
0000393552,P3
0000242755,P3
0000242791,P4
0000242928,P3
0000242986,P2
0000265213,P2
0000242639,P4
0000265642,P2
0000305171,P2
0000324697,P4
0000328121,P2
0000266052,P2
0000266053,P2
0000266263,P2
0000266630,P4
0000266671,P2
0000237062,P4
0000237234,P1
0000231661,P2
0000522075,P4
0000389968,P3
0000244013,P2
0000255128,P2
0000390017,P2
0000409486,P2
0000255242,P1
0000517425,P4
0000255449,P4
0000420760,P4
0000420854,P2
0000420865,P1
0000393399,P2
0000398571,P1
0000398664,P3
0000398686,P3
0000289914,P1
0000243728,P4
0000388862,P2
0000388907,P3
0000244164,P1
0000244208,P3
0000244037,P2
0000293758,P4
0000407262,P2
0000521092,P3
0000521227,P4
0000521231,P4
0000522021,P3
0000521150,P4
0000521149,P4
0000521571,P4
0000519631,P2
0000522097,P1
0000520846,P2
0000521576,P1
0000521601,P3
0000520887,P4
0000521583,P2
0000525292,P4
0000521604,P3
0000521622,P1
0000519018,P3
0000521614,P4
0000519674,P2
0000521646,P4
0000521624,P4
0000522484,P4
0000522486,P4
0000519666,P4
0000522493,P2
0000519642,P2
0000521939,P4
0000521657,P2
0000524727,P4
0000519400,P4
0000518991,P3
0000518971,P2
0000521671,P4
0000240345,P2
0000240352,P1
0000240747,P3
0000100190,P1
0000461538,P1
0000100126,P2
0000262443,P3
0000239050,P3
0000239288,P2
0000247312,P2
0000247439,P4
0000247694,P2
0000233372,P2
0000233593,P2
0000234419,P1
0000233744,P3
0000233396,P4
0000230917,P2
0000230930,P2
0000230937,P1
0000231926,P4
0000230997,P4
0000231089,P2
0000241634,P3
0000244625,P3
0000404012,P4
0000384124,P2
0000385589,P3
0000354278,P2
0000362651,P2
0000363223,P2
0000399216,P3
0000264753,P1
0000264768,P1
0000264950,P2
0000239517,P3
0000239589,P3
0000239651,P1
0000395169,P3
0000395219,P2
0000287392,P2
0000287607,P2
0000231176,P4
0000231199,P1
0000232141,P4
0000232180,P1
0000231291,P4
0000231479,P3
0000232256,P1
0000252939,P2
0000252945,P2
0000238217,P2
0000238226,P3
0000254492,P3
0000254500,P3
0000254531,P1
0000232937,P2
0000233031,P3
0000233168,P4
0000233211,P2
0000233261,P1
0000233301,P1
0000380828,P2
0000245706,P2
0000239747,P1
0000242015,P2
0000239769,P2
0000239770,P2
0000241566,P2
0000241670,P4
0000241671,P2
0000397042,P2
0000238384,P4
0000238468,P2
0000238541,P4
0000254872,P4
0000264504,P1
0000390453,P2
0000390517,P3
0000302858,P1
0000303627,P3
0000245741,P4
0000396170,P2
0000245823,P2
0000381096,P2
0000246060,P2
0000246074,P4
0000264835,P3
0000390707,P2
0000391186,P4
0000392935,P4
0000264600,P1
0000264641,P2
0000237949,P4
0000233182,P3
0000238439,P2
0000249820,P2
0000250798,P1
0000251191,P3
0000251736,P1
0000251938,P1
0000254415,P1
0000254452,P1
0000245415,P1
0000286543,P2
0000387530,P3
0000387632,P2
0000387638,P3
0000387681,P2
0000405937,P4
0000243255,P2
0000242528,P2
0000242532,P2
0000264974,P4
0000388052,P4
0000242592,P3
0000265399,P2
0000265547,P3
0000242647,P4
0000265798,P4
0000265813,P2
0000257919,P3
0000257945,P2
0000236833,P2
0000237030,P3
0000316689,P4
0000304535,P2
0000305471,P1
0000522030,P3
0000265839,P4
0000266170,P4
0000266230,P1
0000266525,P2
0000266543,P4
0000266794,P2
0000231578,P4
0000231606,P2
0000231634,P4
0000234091,P3
0000231685,P1
0000232149,P3
