ClienteCodigo,Potencial
0000477045,P2
0000452663,P4
0000525479,P3
0000523470,P3
0000491055,P4
0000479767,P2
0000254872,P4
0000267566,P3
0000499293,P2
0000233285,P2
0000510084,P4
0000528157,P4
0000534280,P3
0000523495,P4
0000442615,P3
0000514389,P3
0000284224,P2
0000499646,P3
0000297373,P3
0000533953,P4
0000492574,P4
0000469912,P4
0000527949,P4
0000416302,P2
0000481764,P4
0000485078,P2
0000471627,P4
0000522965,P2
0000496270,P2
0000472646,P2
0000237223,P1
0000519424,P4
0000527229,P3
0000367026,P4
0000505774,P4
0000522492,P3
0000529438,P4
0000496708,P2
0000516260,P4
0000520119,P2
0000487210,P4
0000252227,P3
0000371953,P2
0000529376,P4
0000256252,P4
0000529275,P4
0000473282,P2
0000530000,P3
0000449229,P2
0000524217,P2
0000470554,P4
0000510362,P3
0000450749,P4
0000515803,P4
0000523917,P1
0000450445,P4
0000528467,P4
0000498614,P2
0000483185,P1
0000424756,P3
0000418276,P4
0000234189,P4
0000245839,P1
0000477448,P3
0000514731,P1
0000473606,P3
0000513917,P4
0000392891,P3
0000534580,P4
0000438651,P3
0000482712,P4
0000232427,P4
0000528228,P4
0000397141,P4
0000496244,P4
0000521715,P1
0000432635,P3
0000396821,P1
0000468117,P2
0000531591,P4
0000525068,P3
0000531184,P4
0000524665,P4
0000523792,P4
0000263690,P3
0000395094,P2
0000445192,P1
0000512467,P3
0000520412,P4
0000483578,P3
0000470868,P4
0000487595,P3
0000528373,P1
0000259669,P3
0000513311,P2
0000516640,P2
0000240013,P2
0000531162,P4
0000466057,P3
0000511632,P4
0000448009,P4
0000519073,P4
0000479661,P3
0000454817,P3
0000412853,P2
0000501509,P3
0000473008,P2
0000423874,P4
0000530793,P4
0000477592,P2
0000443159,P4
0000482528,P3
0000519614,P1
0000480337,P4
0000501805,P2
0000524557,P4
0000465244,P4
0000248034,P2
0000520639,P3
0000398565,P2
0000430831,P2
0000476986,P2
0000427353,P2
0000261752,P2
0000491425,P4
0000522145,P2
0000523780,P4
0000483096,P4
0000527566,P2
0000489622,P4
0000267683,P4
0000503813,P4
0000500613,P4
0000238935,P3
0000525766,P2
0000255181,P3
0000495947,P2
0000232539,P1
0000239491,P2
0000467408,P2
0000438765,P4
0000509432,P4
0000382246,P2
0000247283,P4
0000245846,P4
0000529357,P3
0000485639,P2
0000522796,P4
0000531387,P4
0000496436,P4
0000344997,P3
0000512780,P4
0000480171,P2
0000512802,P4
0000495997,P4
0000502224,P1
0000490550,P4
0000268929,P2
0000533496,P4
0000533497,P4
0000533498,P4
0000533500,P4
0000533501,P4
0000533503,P4
0000533504,P4
0000533505,P4
0000533511,P4
0000533512,P4
0000533514,P4
0000533518,P4
0000533521,P4
0000533522,P4
0000533525,P4
0000533526,P4
0000533527,P2
0000533531,P3
0000533534,P4
0000533536,P4
0000533537,P4
0000533538,P4
0000533541,P4
0000533546,P4
0000533552,P4
0000533558,P3
0000533566,P3
0000533568,P4
0000533571,P3
0000533573,P4
0000533574,P4
0000533577,P4
0000533578,P2
0000533581,P4
0000533582,P4
0000533584,P4
0000533586,P4
0000533588,P4
0000533595,P4
0000533596,P4
0000533599,P2
0000533604,P3
0000533605,P3
0000533611,P4
0000533614,P2
0000533622,P2
0000533627,P4
0000533646,P4
0000533648,P2
0000533650,P4
0000533658,P4
0000533671,P4
0000533672,P4
0000533691,P3
0000533695,P4
0000533701,P4
0000533710,P2
0000533711,P4
0000533724,P2
0000533728,P4
0000533730,P4
0000533734,P4
0000533736,P2
0000533741,P4
0000533744,P4
0000533746,P2
0000533748,P2
0000533750,P4
0000533768,P4
0000533772,P4
0000533777,P3
0000533786,P4
0000533792,P4
0000533797,P4
0000533804,P4
0000533805,P4
0000533817,P4
0000533821,P4
0000533827,P4
0000533832,P4
0000533835,P4
0000533841,P4
0000533847,P4
0000533849,P1
0000533850,P4
0000533859,P2
0000533873,P4
0000533878,P4
