ClienteCodigo,RFM_Score,RFM_Level
234053,10,High
234062,7,Medium
234065,11,High
234066,10,High
234067,9,High
234069,10,High
234071,6,Promising
234073,4,Needs Attention
234074,3,Require Activation
234082,8,Medium
234083,3,Require Activation
234085,9,High
234088,10,High
234089,10,High
234091,7,Medium
234093,12,High
234097,8,Medium
234099,9,High
234101,3,Require Activation
234102,11,High
234104,10,High
234105,8,Medium
234113,7,Medium
234121,12,High
234128,7,Medium
234130,11,High
234133,11,High
234137,9,High
234143,9,High
234154,11,High
234156,12,High
234162,12,High
234164,8,Medium
234171,10,High
234172,12,High
234173,10,High
234176,11,High
234181,7,Medium
234186,3,Require Activation
234188,7,Medium
234193,9,High
234195,12,High
234208,6,Promising
234210,11,High
234211,11,High
234216,7,Medium
234219,12,High
234223,8,Medium
234229,10,High
234230,9,High
234231,3,Require Activation
234237,3,Require Activation
234238,3,Require Activation
234239,9,High
234245,5,Needs Attention
234253,9,High
234254,12,High
234260,12,High
234262,7,Medium
234273,12,High
234275,10,High
234281,12,High
234290,8,Medium
234292,9,High
234294,10,High
234297,6,Promising
234298,11,High
234301,11,High
234307,12,High
234312,11,High
234313,12,High
234314,8,Medium
234319,11,High
234321,8,Medium
234326,4,Needs Attention
234344,7,Medium
234348,11,High
234353,9,High
234361,10,High
234362,8,Medium
234372,8,Medium
234375,3,Require Activation
234379,10,High
234381,7,Medium
234384,9,High
234386,7,Medium
234389,11,High
234390,12,High
234410,11,High
234412,9,High
234416,6,Promising
234419,8,Medium
234425,3,Require Activation
234428,3,Require Activation
234429,8,Medium
234432,10,High
234436,11,High
234439,3,Require Activation
234442,10,High
234451,10,High
234453,7,Medium
234463,10,High
234465,7,Medium
234466,6,Promising
234470,10,High
234472,12,High
234476,3,Require Activation
234482,3,Require Activation
234486,10,High
234487,11,High
234488,7,Medium
234489,5,Promising
234497,11,High
234498,3,Require Activation
234501,9,High
234502,4,Needs Attention
234506,9,High
234518,9,High
234522,12,High
234524,9,High
234525,6,Promising
234528,10,High
234535,11,High
234540,9,High
234545,7,Medium
234546,8,Medium
234552,3,Require Activation
234556,12,High
234561,10,High
234562,12,High
234564,9,High
234573,10,High
234576,10,High
234582,9,High
234590,5,Needs Attention
234594,8,Medium
234597,10,High
234608,6,Promising
234614,10,High
234618,10,High
234629,9,High
234643,4,Needs Attention
234647,12,High
234660,12,High
234665,7,Medium
234669,8,Medium
234671,12,High
234672,12,High
234678,4,Needs Attention
234686,5,Promising
234689,10,High
234691,11,High
234696,9,High
234700,5,Promising
234702,3,Require Activation
234710,12,High
234716,11,High
234721,8,Medium
234723,6,Promising
234727,5,Promising
234729,3,Require Activation
234733,9,High
234735,10,High
234740,8,Medium
234741,9,High
234743,6,Promising
234747,11,High
234748,11,High
234751,10,High
234754,3,Require Activation
234755,8,Medium
234759,9,High
234763,7,Medium
234772,12,High
234779,7,Medium
234780,11,High
234790,7,Medium
234792,9,High
234794,11,High
234799,8,Medium
234803,5,Needs Attention
234815,10,High
234818,6,Needs Attention
234821,3,Require Activation
234823,8,Medium
234829,10,High
234830,11,High
234831,11,High
234832,10,High
234835,5,Promising
234836,5,Promising
234842,9,High
234843,8,Medium
234845,12,High
234849,8,Medium
234852,3,Require Activation
234854,12,High
234860,8,Medium
234864,10,High
234868,9,High
234869,4,Needs Attention
234870,3,Require Activation
234874,7,Medium
234882,4,Needs Attention
234884,11,High
234887,11,High
234892,12,High
234900,11,High
234901,10,High
234907,11,High
234911,7,Medium
234912,11,High
234917,9,High
234920,8,Medium
234924,11,High
234925,11,High
234927,11,High
234933,12,High
234939,5,Promising
234941,9,High
234942,7,Medium
234945,10,High
234946,11,High
234949,9,High
234958,9,High
234962,8,Medium
234963,3,Require Activation
234965,11,High
234968,9,High
234969,10,High
234970,12,High
234972,10,High
234973,5,Promising
234978,8,Medium
234981,11,High
234984,3,Require Activation
234985,8,Medium
234986,9,High
234990,5,Promising
234991,4,Needs Attention
234996,12,High
234998,12,High
234999,12,High
235003,11,High
235005,10,High
235006,8,Medium
235008,12,High
235013,11,High
235020,11,High
235030,9,High
235032,8,Medium
235033,8,Medium
235039,11,High
235041,9,High
235043,3,Require Activation
235051,7,Medium
235052,5,Promising
235056,7,Medium
235060,10,High
235066,10,High
235070,5,Promising
235071,11,High
235072,10,High
235075,9,High
235076,10,High
235080,11,High
235083,7,Medium
235089,3,Require Activation
235091,11,High
235093,4,Needs Attention
235094,8,Medium
235095,12,High
235100,10,High
235101,9,High
235102,12,High
235116,6,Promising
235123,3,Require Activation
235124,5,Promising
235125,3,Require Activation
235129,11,High
235139,10,High
235140,3,Require Activation
235143,9,High
235148,4,Needs Attention
235151,10,High
235153,11,High
235154,12,High
235156,10,High
235157,3,Require Activation
235159,4,Needs Attention
235160,9,High
235161,10,High
235163,6,Promising
235175,8,Medium
235181,11,High
235183,8,Medium
235191,11,High
235193,9,High
235199,9,High
235203,8,Medium
235214,7,Medium
235215,10,High
235216,9,High
235217,12,High
235218,8,Medium
235219,3,Require Activation
235221,10,High
235223,10,High
235243,9,High
235246,12,High
235252,8,Medium
235260,8,Medium
235262,10,High
235265,11,High
235266,3,Require Activation
235268,9,High
235270,10,High
235273,3,Require Activation
235275,9,High
235276,12,High
235278,5,Promising
235287,6,Promising
235291,5,Promising
235292,9,High
235295,12,High
235300,7,Medium
235307,9,High
235310,12,High
235314,12,High
235315,4,Needs Attention
235322,7,Medium
235330,10,High
235332,10,High
235339,4,Needs Attention
235341,12,High
235343,3,Require Activation
235346,10,High
235351,10,High
235352,10,High
235354,12,High
235360,6,Promising
