ClienteCodigo,RFM_Score,RFM_Level
0000234390,12,High
0000234410,10,High
0000234412,9,High
0000234416,4,Needs Attention
0000234419,11,High
0000234425,4,Needs Attention
0000234428,3,Require Activation
0000234429,11,High
0000234432,8,Medium
0000234436,10,High
0000234439,4,Needs Attention
0000234442,11,High
0000234451,8,Medium
0000234453,7,Medium
0000234463,8,Medium
0000234465,7,Medium
0000234466,8,Medium
0000234470,9,High
0000234472,11,High
0000234482,4,Needs Attention
0000234486,10,High
0000234487,10,High
0000234488,8,Medium
0000234489,6,Promising
0000234497,10,High
0000234498,6,Promising
0000234501,7,Medium
0000234506,11,High
0000234518,7,Medium
0000234522,12,High
0000234524,10,High
0000234525,6,Promising
0000234528,10,High
0000234535,12,High
0000234540,9,High
0000234545,9,High
0000234546,7,Medium
0000234552,7,Medium
0000234556,9,High
0000234561,10,High
0000234562,12,High
0000234564,7,Medium
0000234573,11,High
0000234576,11,High
0000234582,6,Promising
0000234594,6,Promising
0000234597,12,High
0000234598,4,Needs Attention
0000234608,6,Promising
0000234614,9,High
0000234618,11,High
0000234629,9,High
0000234643,5,Promising
0000234647,12,High
0000234660,12,High
0000234665,9,High
0000234669,8,Medium
0000234671,12,High
0000234672,11,High
0000234678,6,Promising
0000234686,8,Medium
0000234689,10,High
0000234691,10,High
0000234696,9,High
0000234700,6,Promising
0000234702,3,Require Activation
0000234710,11,High
0000234716,10,High
0000234721,9,High
0000234723,5,Promising
0000234727,4,Needs Attention
0000234733,9,High
0000234735,10,High
0000234740,8,Medium
0000234741,9,High
0000234743,10,High
0000234747,11,High
0000234748,12,High
0000234751,6,Promising
0000234754,3,Require Activation
0000234755,9,High
0000234759,10,High
0000234763,7,Medium
0000234772,11,High
0000234779,9,High
0000234780,10,High
0000234790,8,Medium
0000234792,11,High
0000234794,12,High
0000234799,5,Promising
0000234803,5,Promising
0000234815,11,High
0000234823,6,Promising
0000234829,8,Medium
0000234830,11,High
0000234831,11,High
0000234832,9,High
0000234835,7,Medium
0000234836,6,Promising
0000234842,9,High
0000234843,8,Medium
0000234845,12,High
0000234849,10,High
0000234852,4,Needs Attention
0000234854,11,High
0000234860,9,High
0000234864,10,High
0000234868,11,High
0000234869,6,Promising
0000234870,3,Require Activation
0000234874,7,Medium
0000234882,5,Promising
0000234884,9,High
0000234887,11,High
0000234892,12,High
0000234900,9,High
0000234901,10,High
0000234907,9,High
0000234911,4,Needs Attention
0000234912,10,High
0000234917,10,High
0000234924,8,Medium
0000234925,10,High
0000234927,10,High
0000234933,11,High
0000234939,7,Medium
0000234941,10,High
0000234942,9,High
0000234945,9,High
0000234946,12,High
0000234949,7,Medium
0000234958,6,Promising
0000234962,8,Medium
0000234965,11,High
0000234968,9,High
0000234969,8,Medium
0000234970,12,High
0000234972,9,High
0000234973,7,Medium
0000234978,8,Medium
0000234981,12,High
0000234984,3,Require Activation
0000234985,10,High
0000234986,11,High
0000234990,6,Promising
0000234991,8,Medium
0000234996,11,High
0000234998,11,High
0000234999,11,High
0000235003,9,High
0000235005,9,High
0000235006,9,High
0000235008,11,High
0000235013,9,High
0000235020,10,High
0000235030,11,High
0000235032,10,High
0000235033,10,High
0000235039,8,Medium
0000235041,10,High
0000235043,5,Promising
0000235051,7,Medium
0000235052,5,Promising
0000235056,5,Promising
0000235060,10,High
0000235066,6,Promising
0000235071,11,High
0000235072,7,Medium
0000235075,10,High
0000235076,12,High
0000235077,3,Require Activation
0000235080,10,High
0000235083,11,High
0000235091,10,High
0000235093,5,Promising
0000235094,9,High
0000235095,10,High
0000235100,10,High
0000235101,8,Medium
0000235102,12,High
0000235116,11,High
0000235123,3,Require Activation
0000235125,4,Needs Attention
0000235129,12,High
0000235139,10,High
0000235143,11,High
0000235148,5,Promising
0000235151,12,High
0000235152,5,Promising
0000235153,11,High
0000235154,11,High
0000235156,8,Medium
0000235159,8,Medium
0000235160,10,High
0000235161,8,Medium
0000235163,5,Promising
0000235175,7,Medium
0000235181,8,Medium
0000235183,8,Medium
0000235191,11,High
0000235193,11,High
0000235199,9,High
0000235203,8,Medium
0000235214,7,Medium
0000235215,10,High
0000235216,7,Medium
0000235217,10,High
0000235218,9,High
0000235219,6,Promising
0000235221,10,High
0000235222,3,Require Activation
0000235223,12,High
0000235243,8,Medium
0000235244,3,Require Activation
0000235246,12,High
0000235252,8,Medium
0000235260,9,High
0000235262,10,High
0000235265,8,Medium
0000235266,3,Require Activation
0000235268,9,High
0000235270,10,High
0000235275,9,High
0000235276,9,High
0000235278,6,Promising
0000235287,4,Needs Attention
0000235292,9,High
0000235295,12,High
0000235300,7,Medium
0000235307,8,Medium
0000235310,11,High
0000235314,12,High
0000235315,5,Promising
0000235322,9,High
0000235330,8,Medium
0000235332,11,High
0000235339,4,Needs Attention
0000235341,12,High
0000235343,4,Needs Attention
0000235346,11,High
0000235351,11,High
0000235352,6,Promising
0000235354,11,High
0000235360,8,Medium
0000235364,6,Promising
0000235365,11,High
0000235369,9,High
0000235371,8,Medium
0000235373,8,Medium
0000235375,6,Promising
0000235381,3,Require Activation
0000235391,8,Medium
0000235396,5,Promising
0000235403,7,Medium
0000235411,5,Promising
0000235416,10,High
0000235417,10,High
0000235422,8,Medium
0000235430,10,High
0000235431,10,High
0000235436,4,Needs Attention
0000235438,11,High
0000235439,10,High
0000235447,7,Medium
0000235453,11,High
0000235455,3,Require Activation
0000235468,9,High
0000235470,12,High
0000235474,9,High
0000235483,9,High
0000235532,9,High
0000235537,5,Promising
0000235541,3,Require Activation
0000235544,10,High
0000235545,12,High
0000235597,9,High
0000235600,10,High
0000235609,10,High
0000235622,3,Require Activation
0000235623,6,Promising
0000235627,5,Needs Attention
0000235628,7,Medium
0000235633,9,High
0000235661,11,High
0000235668,7,Medium
0000235683,5,Promising
0000235686,5,Promising
0000235698,9,High
0000235713,12,High
0000235718,11,High
0000235726,9,High
0000235738,11,High
0000235740,10,High
0000235745,10,High
0000235747,12,High
0000235756,3,Require Activation
0000235771,10,High
0000235773,9,High
0000235779,10,High
0000235782,9,High
0000235805,8,Medium
0000235832,12,High
0000235835,7,Medium
0000235840,10,High
0000235865,9,High
0000235883,8,Medium
0000235894,8,Medium
0000235897,3,Require Activation
0000235917,3,Require Activation
0000235921,10,High
0000235941,12,High
0000235942,10,High
0000235947,10,High
0000235954,6,Promising
0000235975,3,Require Activation
0000235977,12,High
0000235987,10,High
0000235991,12,High
0000235992,6,Promising
0000235993,4,Needs Attention
0000236005,12,High
0000236014,12,High
0000236016,9,High
0000236021,8,Medium
0000236044,6,Promising
0000236046,8,Medium
0000236049,9,High
0000236050,11,High
0000236056,9,High
0000236058,7,Medium
0000236059,12,High
0000236061,9,High
0000236065,12,High
0000236067,3,Require Activation
0000236069,9,High
0000236070,11,High
0000236073,6,Promising
0000236074,11,High
0000236076,10,High
0000236078,7,Medium
0000236082,3,Require Activation
0000236084,9,High
0000236085,10,High
0000236091,8,Medium
0000236096,6,Promising
0000236107,8,Medium
0000236147,6,Needs Attention
0000236148,8,Medium
0000236165,9,High
0000236167,11,High
0000236176,7,Medium
0000236193,10,High
0000236208,10,High
0000236210,9,High
0000236212,9,High
0000236214,12,High
0000236218,8,Medium
0000236224,11,High
0000236231,6,Promising
0000236234,9,High
0000236266,9,High
0000236272,12,High
0000236280,9,High
0000236282,9,High
0000236287,10,High
0000236288,7,Medium
0000236289,10,High
0000236298,11,High
0000236303,12,High
0000236306,3,Require Activation
0000236314,8,Medium
0000236316,4,Needs Attention
0000236322,10,High
0000236323,7,Medium
0000236324,10,High
0000236327,10,High
0000236332,10,High
0000236342,11,High
0000236345,11,High
0000236346,10,High
0000236352,5,Promising
0000236358,6,Promising
0000236370,6,Promising
0000236377,10,High
0000236381,9,High
0000236383,10,High
0000236404,9,High
0000236405,10,High
0000236407,11,High
0000236408,9,High
0000236409,3,Require Activation
0000236418,7,Medium
0000236423,5,Promising
0000236430,8,Medium
0000236440,5,Promising
0000236442,11,High
0000236444,11,High
0000236446,10,High
0000236455,11,High
0000236456,7,Medium
0000236468,10,High
0000236478,10,High
0000236491,5,Needs Attention
0000236498,10,High
0000236512,3,Require Activation
0000236513,9,High
0000236515,12,High
0000236522,10,High
0000236539,7,Medium
0000236540,9,High
0000236551,8,Medium
0000236562,3,Require Activation
0000236585,11,High
0000236629,7,Medium
0000236630,8,Medium
0000236647,8,Medium
0000236659,7,Medium
0000236666,12,High
0000236667,10,High
0000236673,6,Promising
0000236674,11,High
0000236680,5,Needs Attention
0000236691,11,High
0000236696,10,High
0000236704,12,High
0000236723,4,Needs Attention
0000236749,10,High
0000236751,3,Require Activation
0000236767,7,Medium
0000236794,10,High
0000236808,3,Require Activation
0000236823,5,Promising
0000236833,10,High
0000236838,12,High
0000236839,3,Require Activation
0000236859,9,High
0000236876,10,High
0000236898,12,High
0000236911,5,Needs Attention
0000236914,10,High
0000236954,10,High
0000236977,12,High
0000236979,10,High
0000236982,12,High
0000236995,7,Medium
0000237007,11,High
0000237021,9,High
0000237022,7,Medium
0000237029,12,High
0000237036,11,High
0000237037,8,Medium
0000237039,8,Medium
0000237041,11,High
0000237044,7,Medium
0000237046,3,Require Activation
0000237055,10,High
0000237056,11,High
0000237067,3,Require Activation
0000237070,3,Require Activation
0000237090,6,Promising
0000237107,10,High
0000237168,5,Needs Attention
0000237171,10,High
0000237182,8,Medium
0000237183,5,Needs Attention
0000237207,10,High
0000237215,7,Medium
0000237218,9,High
0000237222,12,High
0000237223,12,High
0000237230,5,Promising
0000237234,11,High
0000237236,3,Require Activation
0000237243,7,Medium
0000237244,9,High
0000237275,7,Medium
0000237284,7,Medium
0000237286,6,Promising
0000237289,11,High
0000237307,6,Promising
0000237326,3,Require Activation
0000237331,8,Medium
0000237333,6,Promising
0000237339,8,Medium
0000237343,5,Promising
0000237360,4,Needs Attention
0000237364,6,Promising
0000237384,9,High
0000237387,9,High
0000237404,11,High
0000237405,3,Require Activation
0000237414,10,High
0000237420,3,Require Activation
0000237434,7,Medium
0000237451,6,Promising
0000237465,7,Medium
0000237469,12,High
0000237504,6,Promising
0000237510,11,High
0000237513,8,Medium
0000237518,11,High
0000237535,8,Medium
0000237549,9,High
0000237551,10,High
0000237563,12,High
0000237566,9,High
0000237584,11,High
0000237605,3,Require Activation
0000237609,9,High
0000237610,9,High
0000237614,9,High
0000237618,3,Require Activation
0000237619,7,Medium
0000237624,10,High
0000237626,11,High
0000237637,5,Promising
0000237639,5,Promising
0000237644,10,High
0000237646,6,Promising
0000237650,10,High
0000237653,9,High
0000237656,3,Require Activation
0000237682,3,Require Activation
0000237684,7,Medium
0000237692,9,High
0000237733,9,High
0000237758,6,Promising
0000237790,10,High
0000237804,12,High
0000237814,8,Medium
0000237827,7,Medium
0000237835,10,High
0000237863,12,High
0000237864,3,Require Activation
0000237867,10,High
0000237870,10,High
0000237875,9,High
0000237887,5,Promising
0000237888,4,Needs Attention
0000237890,11,High
0000237891,9,High
0000237896,9,High
0000237905,8,Medium
0000237919,7,Medium
0000237920,6,Promising
0000237922,8,Medium
0000237945,10,High
0000237949,3,Require Activation
0000237963,5,Promising
0000237966,4,Needs Attention
0000237970,5,Promising
0000237987,3,Require Activation
0000238026,11,High
0000238053,9,High
0000238061,5,Promising
0000238078,11,High
0000238079,12,High
0000238089,11,High
0000238109,11,High
0000238120,6,Promising
0000238147,9,High
0000238152,9,High
0000238159,10,High
0000238162,5,Promising
0000238172,9,High
0000238182,11,High
0000238187,8,Medium
0000238195,8,Medium
0000238197,7,Medium
0000238199,7,Medium
0000238200,10,High
0000238209,12,High
0000238217,10,High
0000238225,9,High
0000238226,8,Medium
0000238245,6,Promising
0000238247,9,High
0000238248,9,High
0000238252,7,Medium
0000238254,9,High
0000238255,9,High
0000238273,7,Medium
0000238291,11,High
0000238292,7,Medium
0000238297,8,Medium
0000238299,11,High
0000238304,7,Medium
0000238305,3,Require Activation
0000238307,8,Medium
0000238310,9,High
0000238318,9,High
0000238336,6,Promising
0000238338,11,High
0000238341,7,Medium
0000238348,11,High
0000238368,12,High
0000238376,3,Require Activation
0000238391,6,Promising
0000238392,8,Medium
0000238395,3,Require Activation
0000238408,12,High
0000238416,5,Promising
0000238419,11,High
0000238420,10,High
0000238426,10,High
0000238428,9,High
0000238431,12,High
0000238439,10,High
0000238441,10,High
0000238444,12,High
0000238447,9,High
0000238455,8,Medium
0000238456,10,High
0000238468,7,Medium
0000238470,11,High
0000238471,8,Medium
0000238472,4,Needs Attention
0000238473,5,Promising
0000238483,10,High
0000238484,9,High
0000238488,10,High
0000238489,11,High
0000238491,12,High
0000238494,11,High
0000238498,9,High
0000238501,7,Medium
0000238504,9,High
0000238510,11,High
0000238514,9,High
0000238515,10,High
0000238519,3,Require Activation
0000238525,12,High
0000238528,8,Medium
0000238541,3,Require Activation
0000238547,8,Medium
0000238552,12,High
0000238556,9,High
0000238560,10,High
0000238561,12,High
0000238562,5,Promising
0000238564,8,Medium
0000238569,11,High
0000238578,12,High
0000238582,7,Medium
0000238583,11,High
0000238586,6,Promising
0000238603,12,High
0000238606,10,High
0000238617,11,High
0000238619,9,High
0000238633,8,Medium
0000238634,10,High
0000238647,9,High
0000238649,6,Promising
0000238652,10,High
0000238654,10,High
0000238657,6,Promising
0000238658,8,Medium
0000238661,6,Promising
0000238668,3,Require Activation
0000238674,9,High
0000238676,11,High
0000238679,3,Require Activation
0000238683,6,Promising
0000238684,8,Medium
0000238690,9,High
0000238693,9,High
0000238698,9,High
0000238710,9,High
0000238724,7,Medium
0000238735,7,Medium
0000238736,11,High
0000238738,7,Medium
0000238745,9,High
0000238748,11,High
0000238752,11,High
0000238760,11,High
0000238762,10,High
0000238769,7,Medium
0000238777,12,High
0000238782,5,Promising
0000238786,4,Needs Attention
0000238788,7,Medium
0000238791,12,High
0000238792,11,High
0000238796,12,High
0000238799,11,High
0000238803,10,High
0000238805,8,Medium
0000238806,11,High
0000238810,7,Medium
0000238811,8,Medium
0000238812,12,High
0000238813,6,Promising
0000238816,7,Medium
0000238817,8,Medium
0000238818,11,High
0000238823,4,Needs Attention
0000238835,9,High
0000238837,12,High
0000238838,12,High
0000238841,11,High
0000238842,10,High
0000238846,4,Needs Attention
0000238852,4,Needs Attention
0000238854,12,High
0000238861,9,High
0000238862,11,High
0000238864,8,Medium
0000238868,11,High
0000238875,8,Medium
0000238896,9,High
0000238915,11,High
0000238916,9,High
0000238917,11,High
0000238923,12,High
0000238926,8,Medium
0000238929,5,Promising
0000238931,8,Medium
0000238934,12,High
0000238935,8,Medium
0000238945,3,Require Activation
0000238954,9,High
0000238959,4,Needs Attention
0000238965,3,Require Activation
0000238970,5,Promising
0000238976,3,Require Activation
0000238989,3,Require Activation
0000238991,3,Require Activation
0000238997,8,Medium
0000239035,7,Medium
0000239050,7,Medium
0000239053,8,Medium
0000239057,7,Medium
0000239080,3,Require Activation
0000239081,8,Medium
0000239129,10,High
0000239136,12,High
0000239145,9,High
0000239173,6,Promising
0000239174,7,Medium
0000239179,7,Medium
0000239185,6,Promising
0000239186,8,Medium
0000239187,3,Require Activation
0000239204,12,High
0000239209,6,Promising
0000239211,4,Needs Attention
0000239217,10,High
0000239223,5,Promising
0000239229,8,Medium
0000239231,6,Promising
0000239238,12,High
0000239253,11,High
0000239255,11,High
0000239279,9,High
0000239282,9,High
0000239288,9,High
0000239299,4,Needs Attention
0000239314,11,High
0000239350,8,Medium
0000239351,7,Medium
0000239353,11,High
0000239355,10,High
0000239359,8,Medium
0000239366,7,Medium
0000239369,3,Require Activation
0000239374,10,High
0000239390,10,High
0000239391,8,Medium
0000239395,6,Promising
0000239396,10,High
0000239397,9,High
0000239401,7,Medium
0000239405,5,Promising
0000239407,12,High
0000239410,10,High
0000239411,7,Medium
0000239418,10,High
0000239420,8,Medium
0000239422,12,High
0000239425,5,Promising
0000239426,12,High
0000239429,10,High
0000239430,6,Needs Attention
0000239432,12,High
0000239433,9,High
0000239440,11,High
0000239446,9,High
0000239447,9,High
0000239455,11,High
0000239459,11,High
0000239460,8,Medium
0000239463,10,High
0000239464,10,High
0000239478,12,High
0000239481,11,High
0000239483,3,Require Activation
0000239490,12,High
0000239491,11,High
0000239497,10,High
0000239500,3,Require Activation
0000239501,3,Require Activation
0000239504,8,Medium
0000239507,11,High
0000239510,9,High
0000239511,6,Promising
0000239514,11,High
0000239517,7,Medium
0000239522,9,High
0000239538,9,High
0000239539,7,Medium
0000239542,9,High
0000239543,7,Medium
0000239564,10,High
0000239570,9,High
0000239572,6,Promising
0000239574,11,High
0000239580,7,Medium
0000239583,10,High
0000239586,8,Medium
0000239588,10,High
0000239589,6,Promising
0000239590,9,High
0000239592,9,High
0000239597,5,Promising
0000239602,9,High
0000239605,5,Promising
0000239607,9,High
0000239608,12,High
0000239609,4,Needs Attention
0000239612,9,High
0000239614,10,High
0000239622,12,High
0000239624,11,High
0000239625,9,High
0000239626,11,High
0000239628,10,High
0000239636,7,Medium
0000239641,11,High
0000239643,10,High
0000239644,8,Medium
0000239651,12,High
0000239657,6,Promising
0000239664,11,High
0000239665,12,High
0000239666,7,Medium
0000239674,11,High
0000239676,6,Needs Attention
0000239678,10,High
0000239693,10,High
0000239694,6,Promising
0000239696,3,Require Activation
0000239703,12,High
0000239704,5,Promising
0000239715,7,Medium
0000239718,8,Medium
0000239721,6,Promising
0000239731,11,High
0000239741,6,Promising
0000239747,11,High
0000239748,5,Promising
0000239750,3,Require Activation
0000239756,10,High
0000239769,10,High
0000239770,8,Medium
0000239771,10,High
0000239772,11,High
0000239775,3,Require Activation
0000239776,8,Medium
0000239786,12,High
0000239794,7,Medium
0000239809,8,Medium
0000239810,7,Medium
0000239816,3,Require Activation
0000239821,4,Needs Attention
0000239823,3,Require Activation
0000239824,7,Medium
0000239826,10,High
0000239831,10,High
0000239839,11,High
0000239840,10,High
0000239844,10,High
0000239847,12,High
0000239850,7,Medium
0000239853,10,High
0000239857,10,High
0000239858,4,Needs Attention
0000239860,5,Promising
0000239861,10,High
0000239868,9,High
0000239872,10,High
